Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
108,2011,NBA,1,15,IND,Kawhi Leonard\leonaka01,19.364,F,us,San Diego State,2012,2019,467,30.8,17.7,6.3,2.4,1.8,0.7,.495,.538,.383,.848,65.8,.219
109,1986,NBA,1,1,CLE,Brad Daugherty\daughbr01,20.246,C,us,UNC,1987,1994,548,36.5,19.0,9.5,3.7,0.8,0.7,.532,.533,.143,.747,65.2,.156
110,2010,NBA,1,10,IND,Paul George\georgpa01,20.058,F,us,Fresno State,2011,2019,604,33.8,19.8,6.4,3.3,1.8,0.4,.433,.470,.378,.844,65.2,.153
111,1992,NBA,1,3,MIN,Christian Laettner\laettch01,22.317,F-C,us,Duke,1993,2005,868,29.7,12.8,6.7,2.6,1.1,0.8,.480,.490,.261,.820,64.9,.121
112,1990,NBA,1,1,NJN,Derrick Coleman\colemde01,23.012,F,us,Syracuse,1991,2005,781,33.2,16.5,9.3,2.5,0.8,1.3,.447,.465,.295,.769,64.3,.119
113,1995,NBA,1,10,MIA,Kurt Thomas\thomaku01,22.272,F,us,TCU,1996,2013,1110,24.5,8.1,6.6,1.1,0.7,0.8,.486,.487,.281,.760,64.2,.114
114,2008,NBA,1,24,SEA,Serge Ibaka\ibakase01,18.286,F-C,cg,,2010,2019,753,28.7,12.3,7.3,0.7,0.4,2.2,.514,.547,.357,.761,63.9,.142
115,2000,NBA,1,16,SAC,Hedo Türkoğlu\turkohe01,21.107,F,tr,,2001,2015,997,26.8,11.1,4.0,2.8,0.8,0.3,.426,.450,.384,.784,63.3,.114
116,1999,NBA,1,3,CHH,Baron Davis\davisba01,20.083,G,us,UCLA,2000,2012,835,34.2,16.1,3.8,7.2,1.8,0.4,.409,.456,.320,.711,63.1,.106
117,2002,NBA,1,23,DET,Tayshaun Prince\princta01,22.124,F,us,Kentucky,2003,2016,1017,31.0,11.1,4.3,2.4,0.6,0.5,.455,.470,.367,.756,63.1,.096
118,1990,NBA,1,27,LAL,Elden Campbell\campbel01,21.344,C,us,Clemson,1991,2005,1044,24.7,10.3,5.9,1.1,0.7,1.5,.460,.461,.054,.699,62.8,.117
119,1999,NBA,1,7,WAS,Richard Hamilton\hamilri01,21.141,G-F,us,UConn,2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,.449,.463,.346,.852,62.8,.102
